industry1_code,industry1_name,industry2_code,industry2_name,url,symbol,amount,chg,hasexist,high52w,last_close,percent,volume,current,high,low,name,market_capital,low52w,pe_ttm,open
B,采矿业,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SZ300191,95486561,0.44,False,31.84,19.61,2.24,4798543,20.05,20.35,19.49,潜能恒信,6416000000.0,18.02,682.0915,19.7
B,采矿业,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SZ300164,22106477,0.07,False,9.85,6.48,1.08,3398900,6.55,6.57,6.42,通源石油,2942667141.45,5.31,69.7299,6.47
B,采矿业,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SZ300157,108704762,0.04,False,14.55,6.36,0.63,17002592,6.4,6.45,6.32,恒泰艾普,4561741312.0,5.52,0.0,6.36
B,采矿业,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SH600028,635723195,-0.03,False,7.72,6.47,-0.46,98567654,6.44,6.5,6.4,中国石化,779698590120.24,5.17,14.0176,6.44
B,采矿业,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SH600759,37833024,-0.03,False,8.44,3.56,-0.84,10648079,3.53,3.58,3.52,洲际油气,7990181538.54,3.16,0.0,3.55
B,采矿业,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SH601857,258864349,-0.09,False,9.58,8.11,-1.11,32123743,8.02,8.11,8.0,中国石油,1467828242100.36,7.28,62.3599,8.08
B,采矿业,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SH601808,68396278,-0.21,False,14.15,10.99,-1.91,6284311,10.78,10.99,10.74,中海油服,51437761760.0,10.02,0.0,10.96
B,采矿业,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SH600256,94883139,-0.09,False,5.77,4.48,-2.01,21327938,4.39,4.51,4.39,广汇能源,22922054362.76,3.95,79.2826,4.46
B,采矿业,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SH600583,151120844,-0.18,False,7.87,6.47,-2.78,23747390,6.29,6.46,6.26,海油工程,27810321692.0,5.8,55.6682,6.46
B,采矿业,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SH601969,68005463,0.08,False,14.07,7.5,1.07,8998791,7.58,7.7,7.42,海南矿业,14816779980.12,6.6,0.0,7.47
B,采矿业,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SZ000409,22163399,0.03,False,13.5,5.61,0.53,3908042,5.64,5.73,5.59,山东地矿,2881651731.12,4.99,0.0,5.63
B,采矿业,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SH600532,52539317,0.04,False,15.2,9.0,0.44,5869002,9.04,9.07,8.85,宏达矿业,4665234108.8,8.17,33.8252,8.94
B,采矿业,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SZ000629,0,0.0,False,3.27,3.07,0.0,0,3.07,3.16,3.03,*ST钒钛,26370520840.14,2.44,,3.05
B,采矿业,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SH600711,0,0.0,False,10.8,8.65,0.0,0,8.65,0.0,0.0,盛屯矿业,14503442725.65,5.95,32.2498,0.0
B,采矿业,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SH600882,3923584,-0.02,False,11.52,8.77,-0.23,449502,8.75,8.78,8.7,广泽股份,3592732893.75,8.21,0.0,8.76
B,采矿业,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SH600193,17925287,-0.06,False,10.97,4.74,-1.27,3822420,4.68,4.75,4.66,创兴资源,1990745640.0,4.11,0.0,4.74
