type_x,industry1_code,industry1_name,type_y,industry2_code,industry2_name,url,symbol,amount,chg,hasexist,high52w,last_close,percent,volume,current,high,low,name,market_capital,low52w,pe_ttm,open
CSRC,B,采矿业,CSRC,B11,开采辅助活动,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B11,SZ002554,26016448.4,0.04,False,8.04,4.0,1.0,6472520,4.04,4.04,3.99,惠博普,4326072400.0,3.79,49.193,4.01
CSRC,B,采矿业,CSRC,B11,开采辅助活动,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B11,SZ300157,96821853.79,0.04,False,14.55,6.32,0.63,15299999,6.36,6.38,6.21,恒泰艾普,4533230428.8,5.52,,6.33
CSRC,B,采矿业,CSRC,B11,开采辅助活动,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B11,SZ002207,21201439.0,0.02,False,18.77,8.35,0.24,2554600,8.37,8.38,8.25,*ST准油,2001914653.86,7.08,130.663,8.38
CSRC,B,采矿业,CSRC,B11,开采辅助活动,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B11,SZ002629,12537982.93,0.01,False,10.95,5.41,0.18,2308100,5.42,5.48,5.39,仁智股份,2232758160.0,4.43,604.052,5.41
CSRC,B,采矿业,CSRC,B11,开采辅助活动,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B11,SZ300084,27771538.31,0.01,False,13.07,6.3,0.16,4407300,6.31,6.4,6.23,海默科技,2427871806.78,5.5,152.342,6.36
CSRC,B,采矿业,CSRC,B11,开采辅助活动,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B11,SH600871,41889610.0,0.0,False,4.09,2.27,0.0,18488254,2.27,2.28,2.25,石化油服,43094451874.91,2.14,,2.27
CSRC,C,制造业,CSRC,C13,农副食品加工业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=C13,SZ002548,22973753.38,0.62,False,14.7,9.53,6.51,2364296,10.15,10.15,9.45,金新农,3862462760.45,8.62,36.916,9.54
CSRC,C,制造业,CSRC,C13,农副食品加工业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=C13,SZ002311,154333263.05,1.22,False,23.59,21.48,5.68,6918571,22.7,22.81,21.46,海大集团,35855672725.8,15.3,29.845,21.46
CSRC,C,制造业,CSRC,C13,农副食品加工业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=C13,SH600191,69888262.0,0.24,False,18.33,6.95,3.45,9839846,7.19,7.25,6.92,华资实业,3486661080.0,6.04,123.848,6.97
CSRC,C,制造业,CSRC,C13,农副食品加工业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=C13,SH603609,40414117.0,0.22,False,13.74,8.9,2.47,4462035,9.12,9.14,8.85,禾丰牧业,7580329397.28,8.24,16.093,8.85
CSRC,C,制造业,CSRC,C13,农副食品加工业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=C13,SZ002695,215801850.08,0.39,False,25.87,16.28,2.4,13037591,16.67,17.25,15.87,煌上煌,8334285323.76,13.89,59.149,16.0
CSRC,C,制造业,CSRC,C13,农副食品加工业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=C13,SZ002100,32138660.2,0.19,False,9.48,7.95,2.39,4035926,8.14,8.16,7.82,天康生物,7841950709.12,7.5,19.097,7.95
CSRC,C,制造业,CSRC,C13,农副食品加工业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=C13,SZ000895,318944632.97,0.64,False,30.19,27.31,2.34,11638757,27.95,27.99,26.88,双汇发展,92222654037.8,19.55,21.552,27.39
CSRC,C,制造业,CSRC,C13,农副食品加工业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=C13,SZ000972,19737860.26,0.07,False,6.7,3.73,1.88,5247451,3.8,3.84,3.69,*ST中基,2930877600.2,2.99,,3.73
CSRC,C,制造业,CSRC,C13,农副食品加工业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=C13,SZ000529,14512457.07,0.1,False,12.03,6.25,1.6,2299512,6.35,6.36,6.2,广弘控股,3707068595.5,5.55,29.573,6.25
