name,industry2_code,Unnamed: 0,amount,amplitude,chg,current,current_year_percent,dividend_yield,first_percent,float_market_capital,float_shares,followers,has_follow,income_cagr,issue_date_ts,lot_size,main_net_inflows,market_capital,net_profit_cagr,pb,pb_ttm,pcf,pe_ttm,percent,percent5m,ps,roe_ttm,symbol,tick_size,total_percent,total_shares,turnover_rate,type,volume,volume_ratio
春兰股份,S3301,31,6997868.0,1.87,-0.05,3.69,-3.15,1.067,40.62,1916802005,519458538,11805.0,False,-42.04720873487374,767203200000,100,-2045127.0,1916802005,17.32741028973475,0.9490000000000001,,,71.826,-1.34,-0.27,,1.318326356635945,SH600854,0.01,74.99,519458538,0.36,11,1891714.0,1.07
惠而浦,S3301,32,60836917.0,4.19,-0.07,4.94,0.2,1.008,87.69,2632032000,532800000,14378.0,False,-20.53518718679877,1090857600000,100,670571.0,3786208660,186.0091048211493,1.014,,,-9.329,-1.4,0.0,,-10.59496025051648,SH600983,0.01,142.92,766439000,2.3,11,12258701.0,1.17
华帝股份,S3301,33,106913134.0,2.07,-0.17,10.94,-18.48,2.72,6.75,8565173375,782922612,43278.0,False,-19.54065976744107,1093968000000,100,-10692944.0,9509379745,-19.93056968144038,3.162,,,14.372,-1.53,-0.18,,23.37186630953575,SZ002035,0.01,2017.49,869230324,1.25,11,9773058.0,1.08
盾安环境,S3301,34,17155784.0,2.04,-0.06,3.86,-20.41,0.0,22.07,3518526943,913903102,48270.0,False,-16.40801572918207,1088956800000,100,-4044077.0,3531266893,,1.502,,,56.753,-1.53,0.26,,2.691095444817544,SZ002011,0.01,82.05,917212180,0.48,11,4415900.0,1.37
九阳股份,S3301,35,80931402.0,3.56,-0.51,32.66,29.81,3.273,104.13,24923533166,763121040,90602.0,False,6.882684509162296,1211904000000,100,4392149.0,25055739540,2.5259825463251,6.417,,,31.011,-1.54,-0.46,,20.33425409811534,SZ002242,0.01,247.01,767169000,0.32,11,2445976.0,0.88
浙江美大,S3301,36,31929904.0,3.04,-0.17,10.67,-16.14,4.982,16.88,3340188645,313338522,50121.0,False,-14.07601389713412,1337875200000,100,-2334736.0,6886910557,-25.92492783418279,4.479,,,17.005,-1.57,0.0,,27.06226422069353,SZ002677,0.01,282.94,646051647,0.9500000000000001,11,2980854.0,1.2
长虹华意,S3301,37,7004997.0,2.0,-0.06,3.44,-12.91,0.5730000000000001,57.35,2389502425,694622798,14116.0,False,4.277472254586057,835113600000,100,-334404.0,2394226168,-41.8245953136329,0.743,,,93.143,-1.71,-0.58,,0.797932489321132,SZ000404,0.01,77.42,695995979,0.29,11,2024975.0,0.87
开能健康,S3301,38,5130599.0,2.02,-0.07,3.89,-20.29,2.535,118.26,1468461170,376528505,14412.0,False,15.38562470429061,1320163200000,100,-682585.0,2272900145,-48.03330634588509,1.902,,,25.07,-1.77,-0.26,,7.68121357687148,SZ300272,0.01,-7.44,582794909,0.35,11,1307493.0,1.03
依米康,S3301,39,33322207.0,2.74,-0.11,6.1,-3.48,0.0,92.0,1863322775,305462750,12176.0,False,-15.83131556717758,1312300800000,100,-638272.0,2668568183,,3.588,,,-71.077,-1.77,0.0,,-4.904786063506776,SZ300249,0.01,12.61,437470194,1.78,11,5445100.0,0.96
立霸股份,S3301,40,48159064.0,4.4,-0.25,13.4,-4.35,2.199,43.97,2973994204,221939866,5948.0,False,-6.205103272268852,1426694400000,100,47334.0,2973994204,3.059091101109135,3.912,,,24.682,-1.83,0.3,,15.93298706822184,SH603519,0.01,152.56,221939866,1.62,11,3586564.0,0.92
海立B股,S3301,41,111364.0,4.03,-0.01,0.511,-24.63,0.0,,145210670,284169608,4105.0,False,-6.57736253334662,727286400000,100,-55061.0,451366430,-32.77733694900357,0.711,,,15.066,-1.92,-0.2,,4.738061868118757,SH900910,0.001,,883300255,0.08,11,217264.0,0.8
